Provinsi,Wis_Jan,Wis_Feb,Wis_Mar,Wis_Apr,Wis_Mei,Wis_Juni,Wis_Juli,Wis_Ags,Wis_Sep,Wis_Okt,Wis_Nov,Wis_Des,Total_Wis,Longitude,Latitude,Pengeluaran_Mikro,Pengeluaran_Kecil,Dom_Datang,Dom_Berangkat
ACEH,663437,517850,557272,756915,791968,701963,871519,618671,565184,588020,637519,1673468,8943786,96.911735804602,4.22406854119824,758781,374731,299304,319669
BALI,1830882,1284069,1278466,1616487,1619283,2090327,1955513,1751039,1747551,1874460,1777605,2007821,20833503,115.132016618204,-8.36972386059676,1218552,843755,4954504,4721260
BANTEN,4325638,3898615,3333376,2979960,3255453,3021918,3606807,3255128,3929704,4048337,3940520,4804045,44399501,106.109412976144,-6.45641289585251,1588666,1282946,18852585,18538674
BENGKULU,211866,151670,154106,248057,241660,225886,241961,199228,204566,209482,187859,680801,2957142,102.336291298803,-3.53276309684466,278996,95357,302108,311143
DI YOGYAKARTA,2918939,2402006,2321441,2291965,3122919,3060366,2864007,2059153,2117509,2313657,2255890,2709217,30437069,110.445314589324,-7.89502593933625,585901,633604,2032930,2008203
DKI JAKARTA,6440619,5764546,5102411,3818359,4205052,4741778,4765407,4460100,5547181,5538389,5724711,7514043,63622596,106.834473349114,-6.20031649675358,1885759,3015194,1851212,1808394
GORONTALO,139879,114908,132863,164216,162712,154749,156871,134793,139730,131858,125945,347397,1905921,122.376158896959,0.686882429346583,140748,71163,155515,155781
JAMBI,380949,293566,302700,414742,421741,424987,433896,375376,368132,386128,371185,609785,4783187,102.723915891791,-1.69947323350584,304462,64016,500730,514140
JAWA BARAT,15172532,12225938,11090133,11964676,12614837,12392325,14209134,11285737,12562445,12937519,12661993,17107102,156224371,107.602743179066,-6.9202197550129,8961504,9816832,436446,396773
JAWA TENGAH,10215465,8522313,10463721,11700414,11879262,10317259,10496595,8130358,8200960,8442719,8162360,9038810,115570236,110.200911437278,-7.25984397147348,4793312,5860614,1612931,1627742
JAWA TIMUR,19451002,17436510,17708068,19450106,22309466,20347494,17427521,13539565,12654730,13820919,12965607,19993585,207104573,112.733074410647,-7.72059994521682,6210774,4229361,6213566,5522780
KALIMANTAN BARAT,419418,321107,306368,390690,404409,407707,407292,327538,295721,312246,356052,762490,4711038,111.121024332964,-0.0864860540777082,406139,149680,1288429,1282163
KALIMANTAN SELATAN,630195,481876,477294,578791,589759,630115,673975,520794,517769,542022,445758,1781498,7869846,115.439680623362,-2.99309303653838,321869,359204,1469683,1411054
KALIMANTAN TENGAH,304152,241954,245960,275200,299372,340119,337424,334553,277704,276691,222334,867859,4023322,113.418037598637,-1.60221548568731,231824,95201,587146,583473
KALIMANTAN TIMUR,641896,579530,580672,580561,643021,695994,663800,620068,597562,560799,564435,1174998,7903336,116.470343870979,0.460050814612831,364301,167638,3114834,2633946
KALIMANTAN UTARA,35205,32471,39504,37128,46157,54764,52221,51470,44774,51068,42636,101473,588871,116.215659131943,2.88850993356917,56072,27244,341774,339309
KEP. BANGKA BELITUNG,164006,124730,139812,185529,209111,218299,234099,206938,188694,173431,137343,400977,2382969,106.552228774308,-2.44862216645901,136382,109931,977662,942400
KEP. RIAU,176025,153373,162989,162775,200190,230629,211471,180206,179288,186323,166685,285542,2295496,105.399954562725,1.48029549720799,276762,64806,1917028,1844117
LAMPUNG,1149078,900023,877374,1429885,1376686,1208281,1293197,997673,1030417,1058924,894880,1544279,13760697,105.022966034452,-4.91782339485276,753753,366707,450453,470598
MALUKU,66046,49253,55659,62401,75390,85195,77652,78196,69657,79054,78630,284711,1061844,129.831450710946,-4.72927458021121,59507,22451,478161,436001
MALUKU UTARA,118409,109334,136684,142086,148300,162908,157597,144689,135130,126786,123916,302181,1808020,127.540184057776,0.210447342830913,77294,35113,418745,424829
NUSA TENGGARA BARAT,774963,574848,525034,609687,1025070,1628775,1718321,1406166,1254525,1326692,1287287,791036,12922404,117.507650069454,-8.60753068834184,702973,1128654,1047328,1081950
NUSA TENGGARA TIMUR,657639,367905,269024,291353,344325,501565,494235,348069,339774,345529,335297,769609,5064324,122.180201786337,-9.26391558406094,181489,40545,1424334,1335166
PAPUA,94530,76336,87194,87917,100494,133566,123085,114107,107044,119299,125457,419322,1588351,138.687421386016,-4.65920601046802,179811,114120,1140296,1149880
PAPUA BARAT,47444,38921,40975,39759,49782,62022,58569,53329,46999,53875,57701,213062,762438,132.967410378444,-2.03739753174776,81251,51992,1089147,820351
RIAU,914340,729078,759760,935938,977332,1016640,1048542,893939,866457,908253,762348,1334426,11147053,101.808307463346,0.509822999916336,686977,318261,1202651,1209784
SULAWESI BARAT,423949,380529,425711,399963,406264,297134,294755,157794,110449,111448,126041,376924,3510961,119.344137455322,-2.46144904075353,108713,35121,27156,27835
SULAWESI SELATAN,2682502,2225280,2455952,2503880,2472401,1983399,2212555,1397173,1188982,1177955,1233382,3893499,25426960,120.161568520179,-3.73074116457603,947863,436524,5038460,2832918
SULAWESI TENGAH,667588,567749,695711,702310,716311,465410,377459,302353,251645,264313,284303,993915,6289067,121.202161753765,-1.0038714499911,295028,125040,574826,563832
SULAWESI TENGGARA,1372219,1299527,1389727,1281173,1294740,899696,838914,480612,376071,365686,386244,1085338,11069947,122.071168323717,-4.12562786237347,257526,109558,628198,626592
SULAWESI UTARA,421675,329629,358498,468296,460407,480374,492400,422694,440086,427074,390052,707661,5398846,124.521992050961,1.26130890978231,306738,68179,749537,729507
